0.00, 3000, -5.655
0.00, 4000, -6.5157
0.00, 3500, -6.3311
0.00, 5000, -7.1562
0.00, 6000, -7.6628
0.00, 8000, -8.5685
0.17, 2500, -5.203
0.17, 3000, -5.655
0.17, 3500, -5.9522
0.17, 4000, -6.5713
0.17, 5000, -7.1185
0.17, 6000, -7.8753
0.17, 8000, -8.5172
0.33, 3000, -5.3602
0.33, 2000, -3.1701
0.33, 2500, -4.4228
0.33, 3500, -5.7446
0.33, 4000, -6.0748
0.33, 5000, -7.0703
0.33, 6000, -7.6009
0.33, 8000, -8.7403
0.50, 3000, -5.036
0.50, 2000, -2.3539
0.50, 2500, -3.7297
0.50, 3500, -5.3602
0.50, 4000, -6.0748
0.50, 5000, -7.0586
0.50, 6000, -7.5239
0.50, 8000, -8.6226
0.67, 2500, -2.1203
0.67, 3000, -4.2687
0.67, 3500, -5.2591
0.67, 4000, -6.2659
0.67, 5000, -7.5239
0.67, 6000, -8.2548
0.67, 8000, -9.028
0.83, 2500, -0.5108
0.83, 3000, -2.8647
0.83, 3500, -4.6152
0.83, 4000, -5.9522
0.83, 5000, -7.0703
0.83, 6000, -8.4219
0.83, 8000, -9.2103
1.00, 3000, 1.7047
1.00, 4000, -4.2687
1.00, 6000, -8.8049
1.00, 3500, -1.5141
1.00, 2750, 3.0445
1.00, 5000, -7.2644
1.00, 8000, -10.1266
